               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.2709,              5.1788,              2.4317,            0.055878,             0.12351,            0.045107,            0.022106,                   0,                   0,                   0,              0.0784,              0.0024,              0.0024
                   1,              2.1622,              4.2097,              2.4409,              0.3681,             0.15953,            0.090829,            0.050571,                   0,                   0,                   0,            0.055868,           0.0048677,           0.0048677
                   2,              2.1589,              3.6698,              2.3701,              0.3296,             0.24426,             0.13477,            0.074833,                   0,                   0,                   0,            0.033302,           0.0073023,           0.0073023
                   3,              2.1732,                3.52,              2.3158,             0.36672,             0.17432,             0.12928,            0.072814,                   0,                   0,                   0,            0.010704,            0.009704,            0.009704
                   4,               2.174,              3.8802,              2.1726,             0.28912,             0.30038,             0.14171,            0.077037,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   5,               2.257,              4.2477,              2.1903,             0.21764,             0.28903,             0.14774,            0.080015,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                   6,              2.2435,              4.1942,              2.2269,             0.25114,             0.22891,             0.12714,            0.072593,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                   7,              2.2187,               3.775,              2.2019,             0.35856,             0.32343,             0.16127,            0.093433,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   8,              2.0587,              3.4852,              2.1283,             0.39134,             0.29796,             0.15247,            0.092057,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                   9,              2.0888,              3.6939,              2.1398,             0.43861,             0.22705,             0.15363,            0.087057,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  10,              2.0405,              3.6647,              2.1187,            0.080005,             0.25887,            0.086301,            0.048951,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  11,              2.0635,              3.6184,              2.1351,             0.43473,             0.25474,             0.17172,            0.097055,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  12,              2.0794,               3.252,              2.0416,             0.47386,             0.29302,             0.23946,             0.14283,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  13,              2.0245,              3.1834,              1.9517,             0.42828,             0.31822,             0.26058,             0.14438,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  14,               2.034,               3.215,              2.0927,             0.45416,             0.39141,             0.35021,             0.20202,                   0,                   0,                   0,            0.009142,            0.009142,            0.009142
                  15,              1.9669,              3.0428,              2.0942,             0.50817,             0.35883,             0.33128,             0.20173,                   0,                   0,                   0,            0.009076,            0.009076,            0.009076
                  16,              2.0241,              3.0553,              2.1263,             0.54333,             0.33917,             0.31973,              0.1953,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  17,              2.0201,               2.894,              1.9896,               0.482,             0.42615,             0.35381,             0.19479,                   0,                   0,                   0,            0.008944,            0.008944,            0.008944
                  18,              2.0229,              2.8396,               2.059,              0.7386,             0.29274,             0.38197,             0.23022,                   0,                   0,                   0,            0.008878,            0.008878,            0.008878
                  19,              2.0534,                2.79,              2.0826,              0.5355,             0.41393,             0.41181,             0.25223,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  20,              2.0812,               2.709,              2.0317,             0.60489,             0.40027,             0.42873,             0.25207,                   0,                   0,                   0,            0.008746,            0.008746,            0.008746
                  21,              1.9935,              2.5903,               1.939,             0.58411,             0.45526,             0.47913,             0.29202,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  22,              1.9556,              2.5618,              1.8854,             0.57786,             0.37919,             0.43371,              0.2634,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  23,              1.9251,              2.5241,              1.9581,             0.55186,             0.48111,             0.49533,              0.3086,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  24,              2.0159,              2.5185,              1.9921,             0.68487,              0.4281,             0.49657,             0.29592,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  25,              1.9844,              2.6228,              2.0515,             0.68369,             0.54404,             0.57326,             0.36193,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  26,              1.9403,              2.4485,              1.9924,             0.63389,             0.51297,              0.5718,             0.35818,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  27,              1.9605,              2.3118,              1.9468,             0.67333,             0.54558,              0.5747,             0.35359,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  28,              1.9613,              2.3492,              1.9072,             0.63026,             0.57265,             0.59773,             0.36684,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  29,              1.9681,               2.311,              1.9858,             0.66384,               0.506,             0.56366,             0.34455,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  30,              1.9216,              2.4012,              2.0955,              0.7577,             0.53509,             0.63402,              0.3916,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  31,              1.9048,              2.2658,              1.9783,             0.80052,             0.56047,             0.65765,             0.41088,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  32,              1.8705,              2.2102,              1.9155,             0.72508,             0.60445,              0.6698,             0.43388,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  33,              1.8369,              2.0665,              1.9084,             0.84336,             0.56433,             0.71524,             0.46891,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  34,              1.8776,               2.188,              1.8959,             0.81494,             0.60673,             0.73122,             0.48228,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  35,              1.8429,              2.1837,              1.9645,             0.72997,             0.59875,             0.67476,             0.44041,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  36,              1.9445,              2.1632,              1.9246,             0.77503,             0.63175,             0.73985,             0.47861,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  37,              1.9351,              2.1007,              1.9796,              0.7277,             0.62747,             0.78156,             0.54287,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  38,              1.8491,              1.9663,              1.9105,             0.79781,             0.66047,             0.83079,             0.58155,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  39,              1.8788,              2.0107,              1.9345,             0.77037,             0.67982,             0.82764,             0.56117,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  40,              1.8625,              2.0086,              1.9577,             0.75707,             0.65322,              0.8126,             0.53938,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  41,              1.8402,              1.9108,              1.9591,             0.75709,             0.77928,             0.83595,             0.58363,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  42,              1.8181,              1.8326,              1.8663,             0.71035,             0.84092,             0.86467,             0.59291,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  43,              1.9286,              2.0026,              1.9032,             0.88494,             0.66322,             0.86768,             0.58324,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  44,              1.7915,              1.7875,              1.8174,             0.70657,             0.85173,             0.86947,             0.59197,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  45,              1.8585,              1.8618,              1.8782,             0.86736,             0.64219,             0.77752,             0.50756,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  46,              1.9357,              2.0762,              2.0114,              0.7435,             0.68325,             0.76523,             0.51053,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  47,              1.7673,              1.7605,              1.9184,             0.75981,             0.67514,             0.78002,             0.50087,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  48,               1.812,              1.8604,              1.8891,             0.71835,             0.77334,             0.79233,             0.53157,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  49,              1.7738,              1.7685,              1.9361,             0.87415,             0.79654,             0.89743,             0.62388,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  50,              1.7718,              1.7288,              1.8724,             0.87081,             0.81689,             0.90901,             0.64703,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                  51,              1.7627,              1.7465,              1.8958,             0.86025,              0.7993,             0.90117,             0.62989,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  52,              1.7378,              1.6802,              1.8529,             0.88267,             0.80555,             0.90927,             0.65569,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  53,              1.6882,              1.6191,              1.8501,             0.91453,             0.85191,             0.92678,             0.65952,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                  54,              1.7233,               1.631,              1.8168,             0.92584,             0.83776,             0.93226,             0.66647,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                  55,              1.6585,              1.5113,              1.7992,             0.89069,             0.87161,             0.93195,             0.65914,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  56,              1.7649,              1.6145,              1.8915,             0.88937,             0.85749,             0.93249,             0.66292,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  57,              1.6345,              1.4685,              1.7973,             0.89752,              0.8623,             0.93669,             0.65951,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                  58,              1.6858,              1.4952,              1.7623,             0.92706,             0.89585,              0.9558,             0.68853,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  59,               1.633,              1.4279,              1.7484,             0.92486,             0.90477,             0.95274,             0.68384,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                  60,               1.595,              1.4015,              1.7056,             0.92355,             0.89626,             0.95761,             0.71049,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                  61,               1.652,              1.4548,              1.7837,             0.92654,             0.88743,             0.95086,             0.68921,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  62,              1.6653,               1.595,              1.8388,             0.91836,             0.90867,             0.95773,             0.71053,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                  63,              1.6289,              1.3966,              1.7122,             0.91176,             0.92119,             0.96249,             0.72973,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                  64,              1.6418,              1.5147,              1.7863,             0.92427,              0.9134,             0.96311,             0.72433,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  65,              1.5765,              1.3687,              1.6854,             0.92021,             0.91838,             0.96255,             0.73747,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                  66,              1.6253,              1.4983,              1.8033,             0.77376,             0.97558,             0.95712,             0.72999,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  67,              1.5577,               1.354,              1.7114,             0.80911,             0.97112,             0.96306,             0.74286,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  68,              1.6534,              1.5396,              1.8395,             0.79918,             0.97312,             0.97005,             0.76073,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                  69,              1.6708,              1.4383,              1.8031,             0.90729,             0.94928,             0.97299,             0.74722,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                  70,              1.5664,              1.3616,              1.7426,             0.91272,             0.95519,             0.97252,             0.73589,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  71,              1.5394,              1.3678,                1.74,             0.83401,             0.97831,             0.96924,             0.75993,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  72,              1.5456,               1.276,              1.6649,             0.86371,             0.96895,             0.96973,             0.76061,                   0,                   0,                   0,            0.005314,            0.005314,            0.005314
                  73,              1.5203,              1.2278,              1.7161,             0.87213,             0.97287,             0.97262,             0.73232,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  74,               1.602,              1.3857,              1.7614,             0.88914,             0.96051,             0.96822,             0.75885,                   0,                   0,                   0,            0.005182,            0.005182,            0.005182
                  75,              1.5103,              1.2802,              1.7308,             0.85696,             0.95465,             0.95776,             0.73919,                   0,                   0,                   0,            0.005116,            0.005116,            0.005116
                  76,              1.4761,              1.2383,              1.6978,             0.88483,              0.9555,             0.96647,             0.77641,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  77,              1.5472,              1.3233,              1.7034,             0.87603,             0.96174,             0.96734,             0.74895,                   0,                   0,                   0,            0.004984,            0.004984,            0.004984
                  78,              1.5235,              1.2512,              1.6834,             0.94209,             0.94127,             0.97689,             0.77361,                   0,                   0,                   0,            0.004918,            0.004918,            0.004918
                  79,              1.4067,               1.169,              1.6393,             0.94641,             0.93184,             0.97779,             0.77932,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  80,              1.4308,              1.1931,               1.677,             0.93496,             0.94217,             0.97581,             0.78887,                   0,                   0,                   0,            0.004786,            0.004786,            0.004786
                  81,              1.4873,              1.1913,              1.6678,             0.94102,             0.95371,             0.97555,             0.75059,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  82,              1.4002,              1.1186,              1.6163,             0.95649,               0.948,             0.97688,              0.7857,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  83,              1.4994,              1.1743,              1.6661,             0.95259,             0.95475,             0.97959,             0.79827,                   0,                   0,                   0,            0.004588,            0.004588,            0.004588
                  84,              1.4217,              1.1394,              1.6363,             0.95177,             0.95955,             0.98103,             0.77205,                   0,                   0,                   0,            0.004522,            0.004522,            0.004522
                  85,              1.4255,              1.1587,              1.6915,             0.96335,             0.94737,             0.97832,             0.79251,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  86,              1.4324,              1.1226,              1.6397,             0.94915,             0.96195,             0.97934,             0.79533,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  87,               1.389,              1.1057,              1.6151,             0.94844,             0.94776,              0.9801,             0.80433,                   0,                   0,                   0,            0.004324,            0.004324,            0.004324
                  88,              1.3785,              1.0878,              1.6133,              0.9646,              0.9591,             0.98341,             0.81396,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  89,              1.3613,              1.0886,                1.63,             0.94922,              0.9657,             0.98428,             0.81478,                   0,                   0,                   0,            0.004192,            0.004192,            0.004192
                  90,              1.3404,               1.074,              1.6113,             0.95952,              0.9656,             0.98526,             0.80932,                   0,                   0,                   0,            0.004126,            0.004126,            0.004126
                  91,              1.3526,              1.0661,              1.5917,             0.95937,             0.96031,             0.98539,             0.81619,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  92,              1.3465,              1.1081,              1.6649,             0.95181,             0.96019,             0.98493,             0.81351,                   0,                   0,                   0,            0.003994,            0.003994,            0.003994
                  93,               1.379,              1.1416,              1.6536,              0.9219,             0.96582,             0.98234,             0.80586,                   0,                   0,                   0,            0.003928,            0.003928,            0.003928
                  94,              1.2779,              1.0207,              1.5803,             0.91695,             0.96627,             0.98234,             0.82034,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  95,              1.2828,             0.99156,              1.5684,             0.91932,             0.96702,             0.98165,             0.81588,                   0,                   0,                   0,            0.003796,            0.003796,            0.003796
                  96,               1.294,              1.0033,              1.5657,             0.94309,             0.96802,             0.98495,             0.83366,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  97,              1.2921,              1.0427,              1.5557,             0.95818,              0.9624,             0.98499,             0.83082,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  98,              1.2592,             0.94826,              1.5289,             0.95597,             0.96749,             0.98471,             0.83826,                   0,                   0,                   0,            0.003598,            0.003598,            0.003598
                  99,               1.301,               1.022,              1.5944,             0.96987,             0.97375,             0.98592,             0.85121,                   0,                   0,                   0,            0.003532,            0.003532,            0.003532
                 100,              1.2757,             0.99229,              1.6081,              0.9716,             0.97579,             0.98602,             0.84522,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                 101,              1.2979,              1.0329,              1.5981,             0.97311,             0.97951,             0.98618,              0.8514,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                 102,              1.3259,              1.0046,              1.5864,             0.97586,              0.9793,              0.9863,             0.84632,                   0,                   0,                   0,            0.003334,            0.003334,            0.003334
                 103,              1.2162,             0.92628,              1.4646,             0.97603,             0.97954,             0.98644,             0.84621,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                 104,              1.3327,              1.0679,              1.6277,              0.9724,             0.97782,              0.9863,             0.85787,                   0,                   0,                   0,            0.003202,            0.003202,            0.003202
                 105,               1.232,             0.96285,              1.5612,             0.97286,             0.97197,             0.98632,             0.84863,                   0,                   0,                   0,            0.003136,            0.003136,            0.003136
                 106,              1.2736,             0.99611,              1.5273,             0.96107,             0.97163,             0.98632,             0.85546,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                 107,              1.2248,             0.93942,              1.5383,             0.96539,             0.96337,             0.98607,              0.8539,                   0,                   0,                   0,            0.003004,            0.003004,            0.003004
                 108,              1.1831,             0.87107,              1.4917,             0.96807,             0.96533,             0.98599,             0.85765,                   0,                   0,                   0,            0.002938,            0.002938,            0.002938
                 109,              1.1773,             0.91914,               1.509,             0.96416,             0.97566,             0.98617,             0.85732,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                 110,              1.2069,               0.914,               1.478,             0.96647,             0.97168,             0.98626,             0.86095,                   0,                   0,                   0,            0.002806,            0.002806,            0.002806
                 111,              1.2541,             0.96916,              1.5798,             0.96819,             0.97613,             0.98621,             0.86108,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                 112,              1.1547,             0.86278,              1.4811,             0.96802,             0.97492,             0.98629,             0.86349,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                 113,               1.174,             0.87658,              1.4447,             0.97276,             0.97554,             0.98641,             0.87067,                   0,                   0,                   0,            0.002608,            0.002608,            0.002608
                 114,              1.1748,             0.90718,              1.4795,             0.96581,              0.9778,             0.98628,             0.86337,                   0,                   0,                   0,            0.002542,            0.002542,            0.002542
                 115,              1.1957,             0.97714,              1.5582,             0.97143,             0.97802,             0.98621,              0.8666,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                 116,              1.1097,             0.81914,              1.4161,             0.97138,             0.97669,             0.98632,             0.88696,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                 117,               1.171,             0.92989,              1.4914,             0.97471,             0.97787,             0.98616,             0.88803,                   0,                   0,                   0,            0.002344,            0.002344,            0.002344
                 118,              1.1215,             0.84719,              1.4741,             0.97646,             0.98201,             0.98642,             0.89278,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                 119,              1.1177,             0.81136,              1.4527,              0.9827,             0.98373,             0.98658,             0.89173,                   0,                   0,                   0,            0.002212,            0.002212,            0.002212
                 120,              1.0924,             0.76892,              1.4014,             0.98349,              0.9839,             0.98653,             0.89249,                   0,                   0,                   0,            0.002146,            0.002146,            0.002146
                 121,              1.1168,             0.85913,              1.4629,             0.98097,             0.98041,             0.98641,             0.89242,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                 122,              1.1709,             0.91318,              1.4758,             0.97875,              0.9846,             0.98639,             0.89353,                   0,                   0,                   0,            0.002014,            0.002014,            0.002014
                 123,              1.0061,             0.78586,               1.442,             0.97567,              0.9846,             0.98632,             0.89448,                   0,                   0,                   0,            0.001948,            0.001948,            0.001948
                 124,              1.1241,             0.87535,              1.4864,             0.97442,             0.98356,             0.98622,             0.89795,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                 125,              1.0418,             0.81441,              1.4203,             0.97434,             0.98448,             0.98581,             0.89826,                   0,                   0,                   0,            0.001816,            0.001816,            0.001816
                 126,              1.1378,             0.84689,              1.4761,             0.97532,             0.98451,             0.98581,             0.90267,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                 127,              1.0448,             0.75993,              1.4167,             0.97437,             0.98245,             0.98585,             0.90107,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                 128,              1.0634,             0.78171,              1.4127,             0.97511,             0.98193,             0.98608,             0.89792,                   0,                   0,                   0,            0.001618,            0.001618,            0.001618
                 129,              1.0505,             0.82635,              1.4559,             0.97398,             0.98288,             0.98626,             0.89979,                   0,                   0,                   0,            0.001552,            0.001552,            0.001552
                 130,              1.0751,             0.79819,              1.4065,             0.97845,             0.98161,             0.98668,             0.90565,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                 131,              1.0358,             0.75689,              1.3849,             0.97956,             0.98103,             0.98667,             0.90562,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                 132,               1.016,             0.72412,               1.355,             0.97857,              0.9817,              0.9863,             0.90607,                   0,                   0,                   0,            0.001354,            0.001354,            0.001354
                 133,              1.1219,             0.88559,               1.483,             0.97886,             0.98235,             0.98627,             0.91061,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                 134,              1.0728,             0.80818,              1.4151,              0.9805,             0.98163,              0.9862,             0.90747,                   0,                   0,                   0,            0.001222,            0.001222,            0.001222
                 135,             0.88341,              0.6366,              1.3339,             0.97643,             0.98312,             0.98578,             0.90502,                   0,                   0,                   0,            0.001156,            0.001156,            0.001156
                 136,             0.84496,             0.60615,              1.3567,             0.97427,             0.98546,             0.98569,             0.90622,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                 137,              0.8496,             0.60745,              1.3741,             0.97823,             0.98459,             0.98575,             0.90989,                   0,                   0,                   0,            0.001024,            0.001024,            0.001024
                 138,             0.81413,              0.5996,                1.35,             0.97919,             0.98423,             0.98558,             0.90809,                   0,                   0,                   0,            0.000958,            0.000958,            0.000958
                 139,             0.78567,             0.52873,              1.3169,             0.97938,             0.98495,             0.98592,              0.9048,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                 140,             0.91183,             0.62052,              1.3899,             0.97791,             0.98644,             0.98605,             0.91048,                   0,                   0,                   0,            0.000826,            0.000826,            0.000826
                 141,             0.81426,             0.58078,              1.3115,             0.97894,             0.98674,             0.98592,             0.91101,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
                 142,             0.78576,             0.54571,              1.3176,             0.98156,             0.98678,             0.98617,             0.91395,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                 143,             0.81512,             0.57577,              1.3485,             0.98205,             0.98685,             0.98583,             0.91623,                   0,                   0,                   0,            0.000628,            0.000628,            0.000628
                 144,             0.78469,             0.54135,              1.2887,             0.98337,             0.98612,             0.98576,             0.91263,                   0,                   0,                   0,            0.000562,            0.000562,            0.000562
                 145,              0.7819,             0.53679,               1.342,             0.98305,             0.98658,             0.98607,              0.9175,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                 146,             0.81608,             0.58094,               1.275,             0.98293,             0.98759,             0.98598,             0.91906,                   0,                   0,                   0,             0.00043,             0.00043,             0.00043
                 147,             0.77572,             0.52069,              1.2996,              0.9838,             0.98778,             0.98617,             0.92108,                   0,                   0,                   0,            0.000364,            0.000364,            0.000364
                 148,             0.80722,             0.57823,              1.3753,             0.98365,             0.98826,             0.98634,             0.92291,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
                 149,             0.79475,             0.54905,              1.2977,             0.98283,             0.98789,             0.98654,             0.92364,                   0,                   0,                   0,            0.000232,            0.000232,            0.000232
